"Species","Latitude","Longitude","optional"
"Oscar",25.68308,-80.45435,TRUE
"Oscar",25.46508,-80.57354,TRUE
"Oscar",33.39651,-82.233,TRUE
"Oscar",33.41555,-82.16421,TRUE
"Pike Killifish",25.47389,-80.37139,TRUE
"Butterfly Peacock Bass",26.0633,-80.35952,TRUE
"Butterfly Peacock Bass",25.98279,-80.40792,TRUE
"Butterfly Peacock Bass",25.55003,-80.34944,TRUE
"Butterfly Peacock Bass",25.82948,-80.2898,TRUE
"Butterfly Peacock Bass",25.69416,-80.3513,TRUE
"Butterfly Peacock Bass",25.66889,-80.28361,TRUE
"Butterfly Peacock Bass",26.67173,-80.07645,TRUE
"Black Acara",25.46508,-80.57354,TRUE
"Black Acara",25.66972,-80.28555,TRUE
"Mayan Cichlid",28.1725,-80.60528,TRUE
"Mayan Cichlid",28.34611,-80.69111,TRUE
"Mayan Cichlid",28.34611,-80.69111,TRUE
"Mayan Cichlid",28.12556,-80.62801,TRUE
"Mayan Cichlid",28.15778,-80.60139,TRUE
"Mayan Cichlid",28.15806,-80.60139,TRUE
"Mayan Cichlid",28.35139,-80.68556,TRUE
"Mayan Cichlid",28.07083,-80.60056,TRUE
"Mayan Cichlid",28.14556,-80.59083,TRUE
"Mayan Cichlid",26.0643,-80.28841,TRUE
"Mayan Cichlid",26.0633,-80.35952,TRUE
"Mayan Cichlid",26.34619,-80.26729,TRUE
"Mayan Cichlid",25.98279,-80.40792,TRUE
"Mayan Cichlid",26.04964,-80.16566,TRUE
"Mayan Cichlid",28.00595,-82.46655,TRUE
"Mayan Cichlid",25.47194,-80.37972,TRUE
"Mayan Cichlid",25.82948,-80.2898,TRUE
"Mayan Cichlid",25.46508,-80.57354,TRUE
"Mayan Cichlid",25.95964,-80.20314,TRUE
"Mayan Cichlid",25.69416,-80.3513,TRUE
"Mayan Cichlid",25.47389,-80.37139,TRUE
"Mayan Cichlid",25.47056,-80.39583,TRUE
"Mayan Cichlid",26.48361,-80.20389,TRUE
"Mayan Cichlid",26.42407,-80.20397,TRUE
"Mayan Cichlid",26.68417,-80.35167,TRUE
"Mayan Cichlid",26.67173,-80.07645,TRUE
"Mayan Cichlid",26.65361,-80.29833,TRUE
"Mayan Cichlid",26.35275,-80.29722,TRUE
"Mayan Cichlid",26.46139,-80.19556,TRUE
"Mayan Cichlid",27.83547,-82.64488,TRUE
"Mayan Cichlid",27.36862,-80.55099,TRUE
"Mayan Cichlid",27.20608,-80.40216,TRUE
"Mayan Cichlid",27.2601,-80.30451,TRUE
"Walking Catfish",28.14111,-80.63806,TRUE
"Walking Catfish",26.05203,-80.16523,TRUE
"Walking Catfish",26.2536,-81.6927,TRUE
"Walking Catfish",27.49859,-81.48815,TRUE
"Walking Catfish",26.6489,-82.0233,TRUE
"Walking Catfish",25.69605,-80.29817,TRUE
"Walking Catfish",25.69416,-80.3513,TRUE
"Walking Catfish",25.47389,-80.37139,TRUE
"African Jewelfish",26.0643,-80.28841,TRUE
"African Jewelfish",26.0633,-80.35952,TRUE
"African Jewelfish",26.34619,-80.26729,TRUE
"African Jewelfish",25.55003,-80.34944,TRUE
"African Jewelfish",25.82948,-80.2898,TRUE
"African Jewelfish",25.69605,-80.29817,TRUE
"African Jewelfish",25.42153,-80.59008,TRUE
"African Jewelfish",25.95964,-80.20314,TRUE
"African Jewelfish",25.69416,-80.3513,TRUE
"African Jewelfish",25.47389,-80.37139,TRUE
"African Jewelfish",26.42407,-80.20397,TRUE
"African Jewelfish",26.65361,-80.29833,TRUE
"African Jewelfish",26.35275,-80.29722,TRUE
"African Jewelfish",26.49833,-80.20833,TRUE
"African Jewelfish",26.46139,-80.19556,TRUE
"African Jewelfish",26.47139,-80.19556,TRUE
"African Jewelfish",26.35505,-80.29721,TRUE
"Brown Hoplo",29.60653,-82.30303,TRUE
"Brown Hoplo",25.55003,-80.34944,TRUE
"Brown Hoplo",26.68417,-80.35167,TRUE
"Asian Swamp Eel",26.0633,-80.35952,TRUE
"Asian Swamp Eel",27.83892,-82.21244,TRUE
"Asian Swamp Eel",25.95964,-80.20314,TRUE
"Asian Swamp Eel",33.8327,-84.6301,TRUE
"Asian Swamp Eel",33.8327,-84.6301,TRUE
"Blue Tilapia",28.1725,-80.60528,TRUE
"Blue Tilapia",28.05918,-80.60495,TRUE
"Blue Tilapia",28.12806,-80.59028,TRUE
"Blue Tilapia",26.0643,-80.28841,TRUE
"Blue Tilapia",26.0633,-80.35952,TRUE
"Blue Tilapia",28.7531,-81.9011,TRUE
"Blue Tilapia",25.95687,-80.40758,TRUE
"Blue Tilapia",25.69416,-80.3513,TRUE
"Blue Tilapia",25.47389,-80.37139,TRUE
"Blue Tilapia",26.68417,-80.35167,TRUE
"Blue Tilapia",26.65361,-80.29833,TRUE
"Blackchin Tilapia",28.13611,-80.66361,TRUE
"Blackchin Tilapia",28.165,-80.595,TRUE
"Blackchin Tilapia",28.1725,-80.60528,TRUE
"Blackchin Tilapia",28.1725,-80.60528,TRUE
"Blackchin Tilapia",28.39472,-80.61778,TRUE
"Blackchin Tilapia",28.34611,-80.69111,TRUE
"Blackchin Tilapia",28.14583,-80.63528,TRUE
"Blackchin Tilapia",28.145,-80.63583,TRUE
"Blackchin Tilapia",28.14111,-80.63806,TRUE
"Blackchin Tilapia",28.15778,-80.60139,TRUE
"Blackchin Tilapia",28.12806,-80.59028,TRUE
"Blackchin Tilapia",28.12139,-80.58278,TRUE
"Blackchin Tilapia",28.11722,-80.58639,TRUE
"Blackchin Tilapia",28.07083,-80.60056,TRUE
"Blackchin Tilapia",28.14556,-80.59083,TRUE
"Blackchin Tilapia",28.14556,-80.59083,TRUE
"Blackchin Tilapia",24.68319,-81.35826,TRUE
"Spotted Tilapia",28.07111,-80.62472,TRUE
"Spotted Tilapia",28.13556,-80.66194,TRUE
"Spotted Tilapia",26.0643,-80.28841,TRUE
"Spotted Tilapia",26.0633,-80.35952,TRUE
"Spotted Tilapia",26.05203,-80.16523,TRUE
"Spotted Tilapia",26.34619,-80.26729,TRUE
"Spotted Tilapia",25.98279,-80.40792,TRUE
"Spotted Tilapia",26.04964,-80.16566,TRUE
"Spotted Tilapia",25.55003,-80.34944,TRUE
"Spotted Tilapia",25.82948,-80.2898,TRUE
"Spotted Tilapia",25.69605,-80.29817,TRUE
"Spotted Tilapia",25.42153,-80.59008,TRUE
"Spotted Tilapia",25.67022,-80.28637,TRUE
"Spotted Tilapia",25.66972,-80.28555,TRUE
"Spotted Tilapia",25.95964,-80.20314,TRUE
"Spotted Tilapia",25.47389,-80.37139,TRUE
"Spotted Tilapia",25.47056,-80.39583,TRUE
"Spotted Tilapia",26.42407,-80.20397,TRUE
"Spotted Tilapia",26.68417,-80.35167,TRUE
"Spotted Tilapia",26.65361,-80.29833,TRUE
"Spotted Tilapia",26.3466,-80.2764,TRUE
"Spotted Tilapia",26.46139,-80.19556,TRUE
"Spotted Tilapia",26.35505,-80.29721,TRUE
"Oscar",26.19997,-80.21286,TRUE
"Oscar",26.19959,-80.21569,TRUE
"Oscar",25.42148,-80.58992,TRUE
"Pike Killifish",25.95592,-81.52871,TRUE
"Pike Killifish",25.95592,-81.52871,TRUE
"Pike Killifish",25.95592,-81.52871,TRUE
"Pike Killifish",27.66485,-82.39921,TRUE
"Butterfly Peacock Bass",26.04453,-80.31248,TRUE
"Butterfly Peacock Bass",26.16664,-81.78771,TRUE
"Butterfly Peacock Bass",26.12361,-80.34833,TRUE
"Butterfly Peacock Bass",26.12639,-80.36056,TRUE
"Black Acara",25.95592,-81.52871,TRUE
"Mayan Cichlid",28.16375,-80.60374,TRUE
"Mayan Cichlid",25.97736,-80.47041,TRUE
"Mayan Cichlid",26.25417,-80.27893,TRUE
"Mayan Cichlid",26.0249,-80.34647,TRUE
"Mayan Cichlid",26.06614,-80.314,TRUE
"Mayan Cichlid",26.04348,-80.26487,TRUE
"Mayan Cichlid",26.33157,-80.86777,TRUE
"Mayan Cichlid",26.33175,-80.83125,TRUE
"Mayan Cichlid",26.06735,-80.27687,TRUE
"Mayan Cichlid",26.84739,-82.22855,TRUE
"Mayan Cichlid",25.95592,-81.52871,TRUE
"Mayan Cichlid",26.81676,-81.10103,TRUE
"Mayan Cichlid",26.41788,-81.80226,TRUE
"Mayan Cichlid",27.19884,-80.27519,TRUE
"Mayan Cichlid",25.52234,-80.44533,TRUE
"Mayan Cichlid",25.30385,-80.48836,TRUE
"Mayan Cichlid",25.41762,-80.57365,TRUE
"Mayan Cichlid",26.64749,-80.09626,TRUE
"Mayan Cichlid",26.64762,-80.10058,TRUE
"Mayan Cichlid",26.64757,-80.09944,TRUE
"Mayan Cichlid",26.64751,-80.09736,TRUE
"Mayan Cichlid",26.64748,-80.09633,TRUE
"Mayan Cichlid",26.93854,-80.12949,TRUE
"Mayan Cichlid",26.06583,-80.2275,TRUE
"Mayan Cichlid",26.06543,-80.23383,TRUE
"Mayan Cichlid",26.15004,-80.44268,TRUE
"Mayan Cichlid",26.12886,-80.3506,TRUE
"Mayan Cichlid",26.13714,-80.34627,TRUE
"Mayan Cichlid",26.12941,-80.35011,TRUE
"Mayan Cichlid",26.12361,-80.34833,TRUE
"Mayan Cichlid",26.12639,-80.36056,TRUE
"Mayan Cichlid",26.13089,-80.36015,TRUE
"Walking Catfish",25.76187,-80.5023,TRUE
"Walking Catfish",26.15349,-80.44326,TRUE
"Walking Catfish",26.12639,-80.36056,TRUE
"African Jewelfish",25.95592,-81.52871,TRUE
"African Jewelfish",26.83286,-81.52547,TRUE
"African Jewelfish",27.40393,-81.93639,TRUE
"African Jewelfish",27.40393,-81.93639,TRUE
"African Jewelfish",27.40393,-81.93639,TRUE
"African Jewelfish",27.10738,-82.43134,TRUE
"African Jewelfish",26.06583,-80.2275,TRUE
"African Jewelfish",26.06543,-80.23383,TRUE
"African Jewelfish",26.0653,-80.24051,TRUE
"African Jewelfish",26.14963,-80.44221,TRUE
"African Jewelfish",26.12941,-80.35011,TRUE
"African Jewelfish",26.12361,-80.34833,TRUE
"African Jewelfish",26.12639,-80.36056,TRUE
"Brown Hoplo",28.03594,-82.51717,TRUE
"Brown Hoplo",25.76187,-80.5023,TRUE
"Brown Hoplo",28.30614,-82.58105,TRUE
"Asian Swamp Eel",26.00383,-80.36107,TRUE
"Asian Swamp Eel",27.49771,-81.80543,TRUE
"Asian Swamp Eel",27.61603,-81.81611,TRUE
"Asian Swamp Eel",27.5692,-81.79513,TRUE
"Blue Tilapia",26.02656,-80.34558,TRUE
"Blue Tilapia",26.83274,-81.52547,TRUE
"Blue Tilapia",25.30054,-80.47956,TRUE
"Blue Tilapia",25.30054,-80.47956,TRUE
"Blue Tilapia",25.30385,-80.48836,TRUE
"Blue Tilapia",25.41762,-80.57365,TRUE
"Blue Tilapia",26.64748,-80.09633,TRUE
"Blue Tilapia",26.15349,-80.44326,TRUE
"Spotted Tilapia",26.33129,-80.88011,TRUE
"Spotted Tilapia",26.33175,-80.83125,TRUE
"Spotted Tilapia",26.06735,-80.27687,TRUE
"Spotted Tilapia",25.64207,-80.37613,TRUE
"Spotted Tilapia",26.64748,-80.09633,TRUE
"Spotted Tilapia",26.14963,-80.44221,TRUE
"Spotted Tilapia",26.12886,-80.3506,TRUE
"Spotted Tilapia",26.13714,-80.34627,TRUE
"Spotted Tilapia",26.12361,-80.34833,TRUE
"Spotted Tilapia",26.12639,-80.36056,TRUE
"Spotted Tilapia",26.13089,-80.36015,TRUE
"Oscar",25.86386,-81.10131,TRUE
"Oscar",35.48402,-97.73316,TRUE
"Oscar",25.70975,-80.38154,TRUE
"Butterfly Peacock Bass",25.64437,-80.34301,TRUE
"Butterfly Peacock Bass",25.64965,-80.35278,TRUE
"Butterfly Peacock Bass",25.66231,-80.35597,TRUE
"Butterfly Peacock Bass",25.64402,-80.33998,TRUE
"Butterfly Peacock Bass",25.69121,-80.34406,TRUE
"Butterfly Peacock Bass",25.6923,-80.31978,TRUE
"Butterfly Peacock Bass",25.69166,-80.33292,TRUE
"Black Acara",25.47464,-80.41219,TRUE
"Mayan Cichlid",25.971,-80.36589,TRUE
"Mayan Cichlid",25.86317,-81.10066,TRUE
"Mayan Cichlid",25.3612,-80.63039,TRUE
"Mayan Cichlid",25.60961,-80.31824,TRUE
"Mayan Cichlid",25.64402,-80.33998,TRUE
"Mayan Cichlid",25.64965,-80.35278,TRUE
"Mayan Cichlid",25.47149,-80.37971,TRUE
"Mayan Cichlid",25.70975,-80.38154,TRUE
"Walking Catfish",26.44526,-82.11131,TRUE
"Walking Catfish",26.44552,-82.11349,TRUE
"Walking Catfish",26.44563,-82.11366,TRUE
"Walking Catfish",25.69592,-80.29845,TRUE
"Walking Catfish",25.69121,-80.34406,TRUE
"Walking Catfish",25.70975,-80.38154,TRUE
"African Jewelfish",26.63883,-81.34007,TRUE
"African Jewelfish",26.62941,-81.32945,TRUE
"African Jewelfish",25.60961,-80.31824,TRUE
"African Jewelfish",25.64965,-80.35278,TRUE
"African Jewelfish",25.64402,-80.33998,TRUE
"African Jewelfish",25.66231,-80.35597,TRUE
"African Jewelfish",25.57341,-80.42963,TRUE
"African Jewelfish",25.6015,-80.41338,TRUE
"African Jewelfish",25.66793,-80.28217,TRUE
"African Jewelfish",25.69592,-80.29845,TRUE
"African Jewelfish",25.69121,-80.34406,TRUE
"African Jewelfish",25.6923,-80.31978,TRUE
"African Jewelfish",25.70975,-80.38154,TRUE
