"Species","Latitude","Longitude","optional"
"Mayan Cichlid",28.1725,-80.60528,TRUE
"Mayan Cichlid",28.34611,-80.69111,TRUE
"Mayan Cichlid",28.34611,-80.69111,TRUE
"Mayan Cichlid",28.12556,-80.62801,TRUE
"Mayan Cichlid",28.15778,-80.60139,TRUE
"Mayan Cichlid",28.15806,-80.60139,TRUE
"Mayan Cichlid",28.35139,-80.68556,TRUE
"Mayan Cichlid",28.07083,-80.60056,TRUE
"Mayan Cichlid",28.14556,-80.59083,TRUE
"Mayan Cichlid",26.0643,-80.28841,TRUE
"Mayan Cichlid",26.0633,-80.35952,TRUE
"Mayan Cichlid",26.34619,-80.26729,TRUE
"Mayan Cichlid",25.98279,-80.40792,TRUE
"Mayan Cichlid",26.04964,-80.16566,TRUE
"Mayan Cichlid",28.00595,-82.46655,TRUE
"Mayan Cichlid",25.47194,-80.37972,TRUE
"Mayan Cichlid",25.82948,-80.2898,TRUE
"Mayan Cichlid",25.46508,-80.57354,TRUE
"Mayan Cichlid",25.95964,-80.20314,TRUE
"Mayan Cichlid",25.69416,-80.3513,TRUE
"Mayan Cichlid",25.47389,-80.37139,TRUE
"Mayan Cichlid",25.47056,-80.39583,TRUE
"Mayan Cichlid",26.48361,-80.20389,TRUE
"Mayan Cichlid",26.42407,-80.20397,TRUE
"Mayan Cichlid",26.68417,-80.35167,TRUE
"Mayan Cichlid",26.67173,-80.07645,TRUE
"Mayan Cichlid",26.65361,-80.29833,TRUE
"Mayan Cichlid",26.35275,-80.29722,TRUE
"Mayan Cichlid",26.46139,-80.19556,TRUE
"Mayan Cichlid",27.83547,-82.64488,TRUE
"Mayan Cichlid",27.36862,-80.55099,TRUE
"Mayan Cichlid",27.20608,-80.40216,TRUE
"Mayan Cichlid",27.2601,-80.30451,TRUE
"Mayan Cichlid",28.16375,-80.60374,TRUE
"Mayan Cichlid",25.97736,-80.47041,TRUE
"Mayan Cichlid",26.25417,-80.27893,TRUE
"Mayan Cichlid",26.0249,-80.34647,TRUE
"Mayan Cichlid",26.06614,-80.314,TRUE
"Mayan Cichlid",26.04348,-80.26487,TRUE
"Mayan Cichlid",26.33157,-80.86777,TRUE
"Mayan Cichlid",26.33175,-80.83125,TRUE
"Mayan Cichlid",26.06735,-80.27687,TRUE
"Mayan Cichlid",26.84739,-82.22855,TRUE
"Mayan Cichlid",25.95592,-81.52871,TRUE
"Mayan Cichlid",26.81676,-81.10103,TRUE
"Mayan Cichlid",26.41788,-81.80226,TRUE
"Mayan Cichlid",27.19884,-80.27519,TRUE
"Mayan Cichlid",25.52234,-80.44533,TRUE
"Mayan Cichlid",25.30385,-80.48836,TRUE
"Mayan Cichlid",25.41762,-80.57365,TRUE
"Mayan Cichlid",26.64749,-80.09626,TRUE
"Mayan Cichlid",26.64762,-80.10058,TRUE
"Mayan Cichlid",26.64757,-80.09944,TRUE
"Mayan Cichlid",26.64751,-80.09736,TRUE
"Mayan Cichlid",26.64748,-80.09633,TRUE
"Mayan Cichlid",26.93854,-80.12949,TRUE
"Mayan Cichlid",26.06583,-80.2275,TRUE
"Mayan Cichlid",26.06543,-80.23383,TRUE
"Mayan Cichlid",26.15004,-80.44268,TRUE
"Mayan Cichlid",26.12886,-80.3506,TRUE
"Mayan Cichlid",26.13714,-80.34627,TRUE
"Mayan Cichlid",26.12941,-80.35011,TRUE
"Mayan Cichlid",26.12361,-80.34833,TRUE
"Mayan Cichlid",26.12639,-80.36056,TRUE
"Mayan Cichlid",26.13089,-80.36015,TRUE
"Mayan Cichlid",25.971,-80.36589,TRUE
"Mayan Cichlid",25.86317,-81.10066,TRUE
"Mayan Cichlid",25.3612,-80.63039,TRUE
"Mayan Cichlid",25.60961,-80.31824,TRUE
"Mayan Cichlid",25.64402,-80.33998,TRUE
"Mayan Cichlid",25.64965,-80.35278,TRUE
"Mayan Cichlid",25.47149,-80.37971,TRUE
"Mayan Cichlid",25.70975,-80.38154,TRUE
"Mayan Cichlid",26.15854,-80.26439,TRUE
"Mayan Cichlid",26.27476,-80.25928,TRUE
"Mayan Cichlid",26.98498,-81.93611,TRUE
"Mayan Cichlid",25.36008,-80.56591,TRUE
"Mayan Cichlid",25.17553,-80.37581,TRUE
"Mayan Cichlid",26.35773,-80.11559,TRUE
"Mayan Cichlid",27.23202,-80.35504,TRUE
"Mayan Cichlid",25.1742,-80.37424,TRUE
"Mayan Cichlid",26.68925,-80.18382,TRUE
"Mayan Cichlid",26.5278,-80.2051,TRUE
"Mayan Cichlid",26.33349,-80.1708,TRUE
"Mayan Cichlid",26.54164,-80.23217,TRUE
"Mayan Cichlid",26.43663,-80.13028,TRUE
"Mayan Cichlid",26.43484,-80.20498,TRUE
"Mayan Cichlid",26.34916,-80.17168,TRUE
"Mayan Cichlid",26.64784,-80.11,TRUE
"Mayan Cichlid",27.32378,-80.33377,TRUE
"Mayan Cichlid",25.417516,-80.952882,TRUE
"Mayan Cichlid",25.417516,-80.952882,TRUE
"Mayan Cichlid",25.44901,-80.89139,TRUE
"Mayan Cichlid",25.4657,-80.8633,TRUE
"Mayan Cichlid",25.4612,-80.8576,TRUE
"Mayan Cichlid",25.164824,-80.921624,TRUE
"Mayan Cichlid",25.164824,-80.921624,TRUE
"Mayan Cichlid",25.42093,-80.9435,TRUE
"Mayan Cichlid",25.42093,-80.9435,TRUE
"Mayan Cichlid",25.207174,-80.930679,TRUE
"Mayan Cichlid",25.4047,-80.6116,TRUE
"Mayan Cichlid",25.1438,-80.9225,TRUE
"Mayan Cichlid",25.1438,-80.9225,TRUE
"Mayan Cichlid",26.146809,-81.796646,TRUE
"Mayan Cichlid",26.2677755,-81.688896,TRUE
"Mayan Cichlid",27.4892733,-80.299357,TRUE
"Mayan Cichlid",28.07418,-80.61255,TRUE
"Mayan Cichlid",28.090761,-80.618362,TRUE
"Mayan Cichlid",27.83556,-80.5,TRUE
"Mayan Cichlid",28.02807,-80.58728,TRUE
"Mayan Cichlid",26.4097095,-81.807571,TRUE
"Mayan Cichlid",25.389948,-80.587694,TRUE
"Mayan Cichlid",25.22118,-80.5962,TRUE
"Mayan Cichlid",25.851036,-80.631065,TRUE
"Mayan Cichlid",27.063663,-80.823672,TRUE
"Mayan Cichlid",28.379,-80.6739,TRUE
"Mayan Cichlid",28.379,-80.6739,TRUE
"Mayan Cichlid",28.379,-80.6739,TRUE
"Mayan Cichlid",28.3524,-80.682,TRUE
"Mayan Cichlid",26.77258,-82.06235,TRUE
"Mayan Cichlid",26.4113815,-81.618598,TRUE
"Mayan Cichlid",26.2677755,-81.688896,TRUE
"Mayan Cichlid",26.3261845,-81.594644,TRUE
"Mayan Cichlid",26.3502362,-81.620643,TRUE
"Mayan Cichlid",26.70932,-81.78305,TRUE
"Mayan Cichlid",26.72008,-81.75167,TRUE
"Mayan Cichlid",26.69347,-81.82973,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
"Mayan Cichlid",26.72493,-81.71695,TRUE
