"specimen_ID","Genus","species","Subspecies","common_name","Year","yr_accuracy","Status","State","County","Locality","HUC8_number","HUC8_name","GISLatDD","GISLongDD","lat_long_accuracy","lat_long_source","disposal","Museum_Cat_No","record_type","Reference"
31608,"Astronotus","ocellatus","NULL","Oscar",1985,"Actual","established","FL","NULL","Everglades National Park. Palm Beach County south into Dade County, and east of SR 27 to Collier County, also Hendry and Glades Counties","3090202","Everglades",25.7011,-80.922291,"Approximate","Map derived","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
165193,"Astronotus","ocellatus","NULL","Oscar",1994,"Actual","established","FL","NULL","lower Kissimmee drainage","3090101","Kissimmee",27.8263838,-81.283088,"Centroid","Calculated by GIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14814"
31379,"Astronotus","ocellatus","NULL","Oscar",1986,"Actual","established","FL","NULL","west of US 27 along Alligator Alley to Collier County; also in Hendry and Collier Counties","3090200","Southern Florida",26.1688,-81.0654,"Approximate","Map derived","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
283594,"Astronotus","ocellatus","NULL","Oscar",1960,"Actual","established","FL","","state non-specific","0","Unknown or N/A",28.65028,-82.48828,"Centroid","Calculated by GIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24714"
31997,"Astronotus","ocellatus","NULL","Oscar",1993,"Actual","failed","FL","Alachua","Bivens Arm Lake, Gainesville","3080102","Oklawaha",29.626145,-82.347164,"Accurate","Map derived","kept for aquarium","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
154427,"Astronotus","ocellatus","NULL","Oscar",2001,"Actual","failed","FL","Alachua","Gainesville, U of Florida campus, Green Pond","3080102","Oklawaha",29.645822,-82.347089,"Accurate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14358"
291963,"Astronotus","ocellatus","NULL","Oscar",1983,"Actual","failed","FL","Alachua","Pond near Newberry.","3080102","Oklawaha",29.64635,-82.6065,"Approximate","GNIS","Florida Museum of Natural History","UF 41396","Specimen","See disposal and Musuem_cat_no fields"
291962,"Astronotus","ocellatus","NULL","Oscar",1986,"Actual","failed","FL","Alachua","Stream S of Hume Hall on University of Florida campus.","3080102","Oklawaha",29.6425,-82.35917,"Accurate","reported","Florida Museum of Natural History","UF 44882","Specimen","See disposal and Musuem_cat_no fields"
31919,"Astronotus","ocellatus","NULL","Oscar",1991,"Actual","failed","FL","Bay","Boy's Club Pond, 19th Street, Panama City","3140101","St. Andrew-St. Joseph Bays",30.182723,-85.705043,"Approximate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=403"
31691,"Astronotus","ocellatus","NULL","Oscar",1990,"Actual","unknown","FL","Brevard","Canal in front of the Satellite Beach Civic Center.","3080202","Cape Canaveral",28.172207,-80.604216,"Accurate","Map derived","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
