"specimen_ID","Genus","species","Subspecies","common_name","Year","yr_accuracy","Status","State","County","Locality","HUC8_number","HUC8_name","GISLatDD","GISLongDD","lat_long_accuracy","lat_long_source","disposal","Museum_Cat_No","record_type","Reference"
163686,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2004,"Actual","established","FL","NULL","Caloosahatchee River (upper)","3090205","Caloosahatchee",26.788525,-81.252136,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=14162"
157596,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2003,"Actual","established","FL","NULL","Lake Okeechobee","3090201","Lake Okeechobee",26.96510153,-80.86587203,"Centroid","Calculated by GIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=13676"
558208,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2006,"Actual","established","FL","","Lake Okeechobee","3090201","Lake Okeechobee",26.94869,-80.79658,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=26296"
873313,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2015,"Actual","established","FL","Brevard","Canal behind Desoto Lane, Satellite Beach","3080202","Cape Canaveral",28.16375,-80.60374,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=24369"
257433,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Brevard","Canal on Merritt Island, just southwest of the corner of Angler St and Trout St","3080202","Cape Canaveral",28.379,-80.6739,"Accurate","Map derived","FWC Fish and Wildlife Research Institute","FSBC 19955","Specimen","See disposal and Musuem_cat_no fields"
257436,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Brevard","Canal on Merritt Island, just southwest of the corner of Angler St and Trout St","3080202","Cape Canaveral",28.379,-80.6739,"Accurate","Map derived","FWC Fish and Wildlife Research Institute","FSBC 19956","Specimen","See disposal and Musuem_cat_no fields"
257439,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Brevard","Canal on Merritt Island, just southwest of the corner of Angler St and Trout St","3080202","Cape Canaveral",28.379,-80.6739,"Accurate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18195"
1321656,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","unknown","FL","Brevard","Civic Center Pond","3080202","Cape Canaveral",28.1725,-80.60528,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
1321664,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Cone Road Ditch","3080202","Cape Canaveral",28.34611,-80.69111,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
1321419,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Cone Road Ditch","3080202","Cape Canaveral",28.34611,-80.69111,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
1258631,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2006,"Actual","established","FL","Brevard","Crane Creek, between US Hwy 1 and Country Club Rd.","3080202","Cape Canaveral",28.07386,-80.61574,"Approximate","Map derived","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
280193,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2008,"Estimated","established","FL","Brevard","Crane Creek.","3080202","Cape Canaveral",28.07418,-80.61255,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=23945"
1258629,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Eau Gallie River, dock at Eau Gallie Yacht Basin","3080202","Cape Canaveral",28.12556,-80.62801,"Accurate","reported","NULL","NULL","NAS sighting report","NULL"
1321650,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Grebe Ditch, Indian Harbor Estates @ 513","3080202","Cape Canaveral",28.15778,-80.60139,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
1321318,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Indian Harbor Estates @ St Route 513","3080202","Cape Canaveral",28.15806,-80.60139,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
236329,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2008,"Publication Year","established","FL","Brevard","Melbourne","3080202","Cape Canaveral",28.090761,-80.618362,"Approximate","Map derived","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=15920"
1321417,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Merritt Square (South Side)","3080202","Cape Canaveral",28.35139,-80.68556,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
257443,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2007,"Actual","established","FL","Brevard","Newfound Harbor on Merritt Island next to the Merritt Square mall","3080202","Cape Canaveral",28.3524,-80.682,"Accurate","reported","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=18195"
280190,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2008,"Estimated","established","FL","Brevard","Saint Sebastian River","3080203","Vero Beach",27.83556,-80.5,"Approximate","GNIS","NULL","NULL","Literature","http://nas.er.usgs.gov/queries/references/ReferenceViewer.aspx?refnum=23945"
1321639,"Cichlasoma","urophthalmus","NULL","Mayan Cichlid",2016,"Actual","established","FL","Brevard","Scurrah Landing Culvert @ Riverview Dr.","3080202","Cape Canaveral",28.07083,-80.60056,"Accurate","reported","NULL","NULL","Personal communication","No literature reference available. For more information contact NAS staff"
